id,champ,avant,apres,raison
vapid-slamvan,txt,"Le Slamvan est un pick-up posé au ras du sol, entre le custom et le véhicule de spectacle. Cette pratique du camion rabaissé est une tradition californienne et texane, née dans les années 80 autour des mini-trucks japonais. Aucun visuel de Rockstar ne la montre à ce jour.","Le Slamvan est un pick-up posé au ras du sol, entre le custom et le véhicule de spectacle. Cette pratique du camion rabaissé est une tradition californienne et texane, née dans les années 80 autour des mini-trucks japonais. La version recensée ici est associée au premier trailer, sans nom officiel communiqué.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
dinka-double-t,txt,"La Double T est une routière sportive carénée, dans la lignée des Honda VFR. Cette catégorie de motos vise un équilibre rare : assez performante pour le plaisir, assez confortable pour les longs trajets. Aucune image diffusée ne l'a fait apparaître.","La Double T est une routière sportive carénée, dans la lignée des Honda CBR. Cette catégorie de motos vise un équilibre rare : assez performante pour le plaisir, assez confortable pour les longs trajets. Le premier trailer est la source d'apparition retenue pour la Double T, dont le nom n'est pas communiqué.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
maibatsu-sanchez,txt,"La Sanchez est visible dans les supports officiels sans que Rockstar en communique le nom. C'est une moto d'enduro légère, calée sur la Honda XR250 : monocylindre, suspensions à grand débattement, poids contenu. Le genre d'engin qui passe là où rien d'autre ne passe, ce qui est utile dans les marécages du nord de Leonida.",La Sanchez est visible dans les supports officiels sans que Rockstar en communique le nom. La référence retenue pour cette moto est la Yamaha YZ450F des années 2006 à 2009. L'identification et le rapprochement sont communautaires ; la source recensée est le premier trailer.,Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
western-zombie-chopper,txt,"Le Zombie Chopper est une custom américaine à fourche longue, dans la tradition Harley-Davidson Softail. Le chopper est né de la pratique consistant à retirer tout ce qui n'est pas indispensable d'une moto de série, d'où le nom. Il reste absent de tout ce que Rockstar a diffusé.","Le Zombie Chopper est une custom américaine à fourche longue, dans la tradition Harley-Davidson Fat Bob Custom et Iron 883. Le chopper est né de la pratique consistant à retirer tout ce qui n'est pas indispensable d'une moto de série, d'où le nom. Le Zombie Chopper est recensé dans le second trailer, sous une identification issue de la communauté.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
western-sea-sparrow,txt,"Le Sea Sparrow est un hélicoptère léger à bulle de verre monté sur flotteurs, dans l'esprit du Bell H-13 Sioux. Cette architecture minimale, où le pilote est assis dans une sphère transparente au-dessus de rien, reste l'une des plus reconnaissables de l'aviation. Le premier trailer le fait amerrir, flotteurs en contact.","Le Sea Sparrow est un hélicoptère léger monté sur flotteurs. Son inspiration retenue est le Sikorsky S-300, anciennement Hughes 300. La base l'associe au premier trailer, sans nom communiqué ; les flotteurs permettent de le distinguer de la version terrestre.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
nagasaki-marquis,txt,"On le distingue sur les visuels diffusés, sans légende. C'est un voilier de croisière habitable, dans l'esprit du Bavaria Cruiser 46 : mât unique, cockpit arrière, cabines sous le pont. Le type de bateau qu'on trouve amarré dans les marinas recensées sur notre carte.","Le Marquis est recensé comme un voilier habitable, avec Adjutor Yachts pour inspiration. La marque retenue dans notre base est Dinka. Son apparition est rattachée au second trailer, sans légende officielle donnant son nom.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
vortex-airboat,txt,"L'hydroglisseur est la vraie nouveauté nautique de GTA VI : jamais vu dans la série. Coque plate, immense hélice aérienne dans une cage, il glisse sur quelques centimètres d'eau et passe là où aucune coque ne passe. C'est le seul moyen de circuler dans les marécages des Grassrivers, et c'est un véhicule typiquement floridien.","L'hydroglisseur est la vraie nouveauté nautique de GTA VI : jamais vu dans la série. Coque plate, immense hélice aérienne dans une cage, il glisse sur quelques centimètres d'eau et passe là où aucune coque ne passe. Ce type d'engin est associé aux marécages floridiens. Les conditions de déplacement dans les Grassrivers restent à vérifier dans le jeu.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
brute-bus,txt,"Bus de ville à plancher bas. Les transports publics sont confirmés à Leonida, avec des arrêts où le joueur peut attendre et monter, ce qui donne au bus une fonction de déplacement et pas seulement de décor.","Bus de ville à plancher bas. Des arrêts figurent sur notre carte. Ce véhicule est recensé sur un support officiel, tandis que les possibilités d'utilisation par le joueur restent à vérifier dans le jeu.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
mtl-flatbed,txt,"Le Flatbed est un camion à plateau, utilisé pour le transport de véhicules ou de charges encombrantes. MTL est la marque des poids lourds de l'univers, calquée sur les constructeurs américains de camions lourds. L'Extended Look le montre chargé d'une épave, plateau basculé.","Le Flatbed est un camion à plateau, utilisé pour le transport de véhicules ou de charges encombrantes. Notre base attribue cette version à JoBuilt et la rapproche du Freightliner Century Class 112 de 2004. L'Extended Look le montre chargé d'une épave, plateau basculé.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
mtl-packer,txt,"Le Packer est un tracteur porte-voitures, utilisé pour le transport de véhicules neufs ou saisis. Sa remorque à deux niveaux en fait un engin reconnaissable entre tous. Rien ne l'atteste encore côté Rockstar.","Le Packer est un tracteur porte-voitures, utilisé pour le transport de véhicules neufs ou saisis. Sa remorque à deux niveaux en fait un engin reconnaissable entre tous. Il est recensé dans le second trailer sous une identification communautaire, sans nom communiqué par le studio.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
vapid-tow-truck,txt,"La dépanneuse à plateau ou à potence fait partie du décor urbain américain, entre l'assistance et l'enlèvement de véhicules en infraction. Rockstar ne l'a pas encore fait apparaître.","La dépanneuse à plateau ou à potence fait partie du décor urbain américain, entre l'assistance et l'enlèvement de véhicules en infraction. La source retenue pour ce Tow Truck est le premier trailer, où le véhicule n'est pas nommé.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
monorail-de-vice-city,txt,"Le monorail urbain est une particularité de Miami, qui exploite depuis les années 80 un réseau aérien automatique desservant le centre-ville. Ce mode de transport, rare aux États-Unis, fait partie de l'identité visuelle de la ville. Rockstar n'a rien publié à son sujet pour Leonida.","Le monorail urbain est une particularité de Miami, qui exploite depuis les années 80 un réseau aérien automatique desservant le centre-ville. Ce mode de transport, rare aux États-Unis, fait partie de l'identité visuelle de la ville. Notre base rattache ce monorail au second trailer et retient l'Innovia APM 100 du Metromover comme inspiration.",Alignement avec marque/inspiration/statut actuels ou retrait d'une affirmation de gameplay non étayée.
